Name	Value	Access	
CR	0x0C00C025	ReadWrite	
ICSCR	0x41B20310	ReadWrite	
CRRCR	0x000000F4	ReadOnly	
CFGR	0x00000000	ReadWrite	
D1CFGR	0x00000000	ReadWrite	
D2CFGR	0x00000000	ReadWrite	
D3CFGR	0x00000000	ReadWrite	
PLLCKSELR	0x02020200	ReadWrite	
PLLCFGR	0x01FF0050	ReadWrite	
PLL1DIVR	0x01010280	ReadWrite	
PLL1FRACR	0x00000000	ReadWrite	
PLL2DIVR	0x01010280	ReadWrite	
PLL2FRACR	0x00000000	ReadWrite	
PLL3DIVR	0x01010280	ReadWrite	
PLL3FRACR	0x00000000	ReadWrite	
D1CCIPR	0x00000000	ReadWrite	
D2CCIP1R	0x00000000	ReadWrite	
D2CCIP2R	0x00000000	ReadWrite	
D3CCIPR	0x00000000	ReadWrite	
CIER	0x00000000	ReadWrite	
CIFR	0x00000000	ReadWrite	
CICR	0x00000000	ReadWrite	
BDCR	0x00000000	ReadWrite	
CSR	0x00000000	ReadWrite	
AHB3RSTR	0x00000000	ReadWrite	
AHB1RSTR	0x00000000	ReadWrite	
AHB2RSTR	0x00000000	ReadWrite	
AHB4RSTR	0x00000000	ReadWrite	
APB3RSTR	0x00000000	ReadWrite	
APB1LRSTR	0x00000000	ReadWrite	
APB1HRSTR	0x00000000	ReadWrite	
APB2RSTR	0x00000000	ReadWrite	
APB4RSTR	0x00000000	ReadWrite	
GCR	0x00000000	ReadWrite	
D3AMR	0x00000000	ReadWrite	
RSR	0x01FE0000	ReadWrite	
C1_RSR	0x01FE0000	ReadWrite	
C1_AHB3ENR	0x00000000	ReadWrite	
AHB3ENR	0x00000000	ReadWrite	
AHB1ENR	0x00000020	ReadWrite	
C1_AHB1ENR	0x00000020	ReadWrite	
C1_AHB2ENR	0x00000000	ReadWrite	
AHB2ENR	0x00000000	ReadWrite	
AHB4ENR	0x00000086	ReadWrite	
C1_AHB4ENR	0x00000086	ReadWrite	
C1_APB3ENR	0x00000000	ReadWrite	
APB3ENR	0x00000000	ReadWrite	
APB1LENR	0x00000000	ReadWrite	
C1_APB1LENR	0x00000000	ReadWrite	
APB1HENR	0x00000000	ReadWrite	
C1_APB1HENR	0x00000000	ReadWrite	
C1_APB2ENR	0x00000000	ReadWrite	
APB2ENR	0x00000000	ReadWrite	
APB4ENR	0x00018002	ReadWrite	
C1_APB4ENR	0x00018002	ReadWrite	
C1_AHB3LPENR	0xF0015131	ReadWrite	
AHB3LPENR	0xF0015131	ReadWrite	
AHB1LPENR	0x1E03C023	ReadWrite	
C1_AHB1LPENR	0x1E03C023	ReadWrite	
C1_AHB2LPENR	0xE0000271	ReadWrite	
AHB2LPENR	0xE0000271	ReadWrite	
AHB4LPENR	0x312807FF	ReadWrite	
C1_AHB4LPENR	0x312807FF	ReadWrite	
C1_APB3LPENR	0x00000058	ReadWrite	
APB3LPENR	0x00000058	ReadWrite	
APB1LLPENR	0xE8FFCBFF	ReadWrite	
C1_APB1LLPENR	0xE8FFCBFF	ReadWrite	
C1_APB1HLPENR	0x00000136	ReadWrite	
APB1HLPENR	0x00000136	ReadWrite	
APB2LPENR	0x31D73033	ReadWrite	
C1_APB2LPENR	0x31D73033	ReadWrite	
C1_APB4LPENR	0x0421DEAA	ReadWrite	
APB4LPENR	0x0421DEAA	ReadWrite	
